ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030901,midbrain development,3/6,91/18870,2.147298539830091e-6,4.101340211075474e-4,1.4239979790452184e-4,CXCR2/BASP1/PADI2,3
GO:0021762,substantia nigra development,2/6,44/18870,7.923413039553737e-5,0.007566859452773818,0.0026272369552204494,BASP1/PADI2,2
GO:0048857,neural nucleus development,2/6,67/18870,1.8458500174565171e-4,0.011000349425311947,0.003819355270292933,BASP1/PADI2,2
GO:0070098,chemokine-mediated signaling pathway,2/6,91/18870,3.407107699689781e-4,0.011000349425311947,0.003819355270292933,CXCR2/PADI2,2
GO:0001656,metanephros development,2/6,94/18870,3.6351994469250416e-4,0.011000349425311947,0.003819355270292933,CXCR2/BASP1,2
GO:1990868,response to chemokine,2/6,99/18870,4.031541674198096e-4,0.011000349425311947,0.003819355270292933,CXCR2/PADI2,2
GO:1990869,cellular response to chemokine,2/6,99/18870,4.031541674198096e-4,0.011000349425311947,0.003819355270292933,CXCR2/PADI2,2
GO:0002688,regulation of leukocyte chemotaxis,2/6,126/18870,6.519721468458279e-4,0.015565835005944141,0.005404505954116731,CXCR2/PADI2,2
GO:0072073,kidney epithelium development,2/6,150/18870,9.220370778567541e-4,0.019567675763404447,0.006793957415786609,CXCR2/BASP1,2
GO:0071674,mononuclear cell migration,2/6,207/18870,0.0017450020629316612,0.033329539401994734,0.011572118943652069,CXCR2/PADI2,2
GO:0002685,regulation of leukocyte migration,2/6,230/18870,0.0021483406191021245,0.034325904709178,0.011918060053338187,CXCR2/PADI2,2
GO:0050920,regulation of chemotaxis,2/6,232/18870,0.0021853268398443243,0.034325904709178,0.011918060053338187,CXCR2/PADI2,2
GO:0030595,leukocyte chemotaxis,2/6,240/18870,0.002336318121567089,0.034325904709178,0.011918060053338187,CXCR2/PADI2,2
GO:0070099,regulation of chemokine-mediated signaling pathway,1/6,10/18870,0.003175860864546687,0.03659983683500012,0.012707576305345868,PADI2,1
GO:0072173,metanephric tubule morphogenesis,1/6,11/18870,0.0034929841325643807,0.03659983683500012,0.012707576305345868,CXCR2,1
